prevword,nextword,prevtag,nexttag,class,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11
увидеть,2-й,verb,num,9,0,0,0,0,0,0,0,0,1,0,0
на,в,prep,prep,9,0,0,0,1,0,0,0,0,1,0,0
проливать,на,verb,prep,7,0,0,0,0,0,0,1,0,0,0,0
лунный,*,adj,*,1,1,0,0,0,0,0,0,0,0,0,0
появляться,не,verb,neg,9,0,0,0,0,0,0,0,0,1,0,0
сознание,*,noun,*,7,0,0,0,0,0,0,0,0,0,0,0
красный,или,adj,conj,1,1,0,0,0,0,0,0,0,0,0,0
начинать,погасить,verb,verb,3,0,0,0,0,0,0,0,0,0,0,0
в,*,prep,*,10,0,0,0,0,0,0,0,0,0,1,0
на,головной,prep,adj,4,0,0,0,1,0,0,0,0,1,0,0
нести,знания,verb,noun,7,0,0,0,0,0,0,0,0,0,0,0
потом,включать,adv,verb,3,0,0,0,0,0,0,0,0,0,0,0
в,книга,prep,noun,10,0,0,0,0,0,0,0,0,0,1,0
в,представленный,prep,adj,10,0,0,0,0,0,0,0,0,0,1,0
верхний,*,adj,*,3,0,0,1,0,0,0,0,0,0,0,0
но,потухнуть,conj,verb,3,0,0,0,0,0,0,0,0,0,0,0
на,Божий,prep,ad,9,0,0,0,1,0,0,0,0,1,0,0
исходить,*,verb,*,6,0,0,0,0,0,1,0,0,0,0,0
,в,*,prep,3,0,0,0,0,0,0,0,0,0,0,0
зеленый,чтобы,adj,conj,1,1,0,0,0,0,0,0,0,0,0,0
зеленый,тем,adj,pronoun,1,1,0,0,0,0,0,0,0,0,0,0
гореть,не,verb,neg,3,0,0,1,0,0,0,0,0,0,0,0
на,*,prep,*,9,0,0,0,1,0,0,0,0,1,0,0
на,*,prep,*,10,0,0,0,1,0,0,0,0,1,0,0
ни,ни,neg,neg,2,0,1,0,0,0,0,0,0,0,0,0
гореть,*,verb,*,3,0,0,1,0,0,0,0,0,0,0,0
электрический,*,adj,*,3,1,0,0,0,0,0,0,0,0,0,0
белый,знать,adj,verb,10,0,0,0,0,0,0,0,0,0,1,0
на,а,prep,conj,4,0,0,0,1,0,0,0,0,1,0,0
на,питие,prep,noun,4,0,0,0,1,0,0,0,0,1,0,0
весь,опозорить,adv,verb,10,0,0,0,0,0,0,0,0,0,0,0
на,зловеще,prep,adv,4,0,0,0,1,0,0,0,0,1,0,0
солнечный,*,adj,*,1,0,0,0,0,0,0,0,0,0,0,0
ее,быть,pronoun,verb,1,0,0,0,0,0,0,0,0,0,0,0
погаснуть,в,verb,prep,3,0,0,1,0,0,0,0,0,0,0,0
зажигать,закрывать,verb,verb,3,0,0,0,0,0,0,0,0,0,0,0
теплый,свеча,adj,noun,1,0,0,0,0,0,0,0,0,0,0,0
на,вот,prep,adv,4,0,0,0,1,0,0,0,0,1,0,0
солнечный,пробиваться,adj,verb,1,0,0,0,0,0,0,0,0,0,0,0
яркий,и,adj,conj,1,1,0,0,0,0,0,0,0,0,0,0
выключать,*,verb,*,3,0,0,0,0,0,0,0,0,0,0,0
на,дочь,prep,noun,9,0,0,0,1,0,0,0,0,1,0,0
на,божий,prep,adj,9,0,0,0,1,0,0,0,0,1,0,0
на,и,prep,conj,3,0,0,0,1,0,0,0,0,1,0,0
бы,зажигать,part,verb,3,0,0,0,0,0,0,0,0,0,0,0
и,фара,conj,noun,1,0,0,0,0,0,0,0,0,0,0,0
лунный,*,adj,*,1,1,0,0,0,0,0,0,0,0,0,0
погаснуть,*,verb,*,3,0,0,1,0,0,0,0,0,0,0,0
минута,мигнуть,noun,verb,3,0,0,0,0,0,0,0,0,0,0,0
теплый,падать,adj,verb,1,0,0,0,0,0,0,0,0,0,0,0
солнечный,крутой,adj,adj,1,0,0,0,0,0,0,0,0,0,0,0
солнечный,прямой,adj,adj,1,0,0,0,0,0,0,0,0,0,0,0
выключатель,не,noun,neg,3,0,0,0,0,0,0,0,0,0,0,0
на,*,prep,*,9,0,0,0,1,0,0,0,0,1,0,0
зажигать,*,verb,*,3,0,0,0,0,0,0,0,0,0,0,0
сиять,сквозь,verb,adv,1,0,0,0,0,0,0,0,0,0,0,0
гореть,*,verb,*,3,0,0,1,0,0,0,0,0,0,0,0
включать,и,verb,conj,3,0,0,1,0,0,0,0,0,0,0,0
которой,бледнеющий,pronoun,adj,1,0,0,0,0,0,0,0,0,0,0,0
осиять,истина ,verb,noun,7,0,0,0,0,0,0,0,0,0,0,0
,сюда,*,adv,1,0,0,0,0,0,0,0,0,0,0,0
электрический,остаться,adj,verb,1,1,0,0,0,0,0,0,0,0,0,0
чуть,опять,adv,adv,2,0,0,0,0,0,0,0,0,0,0,0
весь,перевернуться,adv,verb,9,0,0,0,0,0,0,0,0,0,0,0
трястись,погасить,verb,verb,3,0,0,0,0,0,0,0,0,0,0,0
темно,считать,adv,verb,1,0,0,0,0,0,0,0,0,0,0,0
лампочкв,доходить,noun,verb,1,0,0,0,0,0,0,0,0,0,0,0
кабинет,но,noun,conj,3,0,0,0,0,0,0,0,0,0,0,0
рассеянный,*,adj,*,1,0,0,0,0,0,0,0,0,0,0,0
погаснуть,я,verb,pronoun,3,0,0,1,0,0,0,0,0,0,0,0
верхний,на,adj,prep,3,0,0,1,0,0,0,0,0,0,0,0
на,трое,prep,num,9,0,0,0,1,0,0,0,0,1,0,0
погаснуть,я,verb,pronoun,3,0,0,1,0,0,0,0,0,0,0,0
на,божий,prep,adj,9,0,0,0,1,0,0,0,0,1,0,0
тот,*,pronoun,*,9,0,0,0,0,0,0,0,0,0,0,0
,быть,*,verb,1,0,0,0,0,0,0,0,0,0,0,0
лунный,разбавлять,adj,verb,1,1,0,0,0,0,0,0,0,0,0,0
загореться,*,verb,*,3,0,0,0,0,0,0,0,0,0,0,0
погаснуть,и,verb,conj,3,0,0,1,0,0,0,0,0,0,0,0
солнечный,падать,adj,verb,1,0,0,0,0,0,0,0,0,0,0,0
выключать,и,verb,conj,3,0,0,0,0,0,0,0,0,0,0,0
гореть,пахнуть,verb,verb,3,0,0,1,0,0,0,0,0,0,0,0
я,ты,pronoun,pronoun,8,0,0,0,0,0,0,0,0,0,0,0
чуть,наскоро,adv,adv,2,0,0,0,0,0,0,0,0,0,0,0
в,и,prep,conj,11,0,0,0,0,0,0,0,0,0,1,0
последний,длинный,adj,adj,3,0,0,0,0,0,0,0,0,0,0,0
на,*,prep,*,9,0,0,0,1,0,0,0,0,1,0,0
кончаться,погаснуть,verb,verb,3,0,0,0,0,0,0,0,0,0,0,0
удар,погаснуть,noun,verb,3,0,0,0,0,0,0,0,0,0,0,0
,зелено-абажурный,*,adj,1,0,0,0,0,0,0,0,0,0,0,0
выключать,рассматривать,verb,verb,3,0,0,0,0,0,0,0,0,0,0,0
тушить,хоть,verb,adv,3,0,0,1,0,0,0,0,0,0,0,0
отключить,*,verb,*,3,0,0,0,0,0,0,0,0,0,0,0
ни,ни,neg,neg,2,0,1,0,0,0,0,0,0,0,0,0
чуть,бодрствовать,adv,verb,2,0,0,0,0,0,0,0,0,0,0,0
они,гореть,pronoun,verb,3,0,0,0,0,0,0,0,0,0,0,0
,мы,*,pronoun,3,0,0,0,0,0,0,0,0,0,0,0
мерклый,одиноко,adj,adv,1,0,0,0,0,0,0,0,0,0,0,0
тревожный,все,adj,adv,1,0,0,0,0,0,0,0,0,0,0,0
белый,глазеть,adj,verb,10,0,0,0,0,0,0,0,0,0,1,0
включать,*,verb,*,3,0,0,1,0,0,0,0,0,0,0,0
мгновение,погаснуть,noun,verb,3,0,0,0,0,0,0,0,0,0,0,0
бояться,включать,verb,verb,3,0,0,0,0,0,0,0,0,0,0,0
на,младенец,prep,noun,9,0,0,0,1,0,0,0,0,1,0,0
тот,с,pronoun,prep,9,0,0,0,0,0,0,0,0,0,0,0
и,падать,conj,verb,1,0,0,0,0,0,0,0,0,0,0,0
эстрадный,и,adj,conj,1,0,0,0,0,0,0,0,0,0,0,0
тушить,хотеть,verb,verb,3,0,0,1,0,0,0,0,0,0,0,0
верхний,быть,adj,verb,3,0,0,1,0,0,0,0,0,0,0,0
погасить,чтобы,verb,conj,3,0,0,1,0,0,0,0,0,0,0,0
зажечься,замелькать,verb,verb,3,0,0,1,0,0,0,0,0,0,0,0
пронзительный,любовь,adj,noun,7,0,0,0,0,0,0,0,0,0,0,0
зеленый,*,adj,*,3,1,0,0,0,0,0,0,0,0,0,0
спокойный,идти,adj,verb,1,0,0,0,0,0,0,0,0,0,0,0
этот,быть,pronoun,verb,1,0,0,0,0,0,0,0,0,0,0,0
гореть,из,verb,prep,3,0,0,1,0,0,0,0,0,0,0,0
который,лететь,pronoun,verb,1,0,0,0,0,0,0,0,0,0,0,0
и,фара,conj,noun,1,0,0,0,0,0,0,0,0,0,0,0
,билть,*,verb,1,0,0,0,0,0,0,0,0,0,0,0
проклятый,*,adj,*,1,0,0,0,0,0,0,0,0,0,0,0
вот,погаснуть,adv,verb,3,0,0,0,0,0,0,0,0,0,0,0
отраженный,луна,adj,noun,1,0,0,0,0,0,0,0,0,0,0,0
весь,*,adv,*,10,0,0,0,0,0,0,0,0,0,0,0
противный,ее,adj,pronoun,1,0,0,0,0,0,0,0,0,0,0,0
глаз,не,noun,neg,1,0,0,0,0,0,0,0,0,0,0,0
ослепительный,вспыхнуть,adj,verb,1,1,0,0,0,0,0,0,0,0,0,0
верхний,*,adj,*,3,0,0,1,0,0,0,0,0,0,0,0
выпить,стать,verb,verb,1,0,0,0,0,0,0,0,0,0,0,0
на,и,prep,conj,4,0,0,0,1,0,0,0,0,1,0,0
,быть,*,verb,1,0,0,0,0,0,0,0,0,0,0,0
зажечь,и,verb,conj,3,0,0,1,0,0,0,0,0,0,0,0
