prevword,nextword,prevtag,nexttag,class
потом,включать,adv,verb,3
в,книга,prep,noun,10
в,представленный,prep,adj,10
верхний,*,adj,*,3
но,потухнуть,conj,verb,3
на,Божий,prep,ad,9
исходить,*,verb,*,6
*,в,*,prep,3
зеленый,чтобы,adj,conj,1
зеленый,тем,adj,pronoun,1
гореть,не,verb,neg,3
на,*,prep,*,9
на,*,prep,*,10
ни,ни,neg,neg,2
гореть,*,verb,*,3
электрический,*,adj,*,3
белый,знать,adj,verb,10
на,а,prep,conj,4
на,питие,prep,noun,4
весь,опозорить,adv,verb,10
на,зловеще,prep,adv,4
солнечный,*,adj,*,1
ее,быть,pronoun,verb,1
погаснуть,в,verb,prep,3
зажигать,закрывать,verb,verb,3
теплый,свеча,adj,noun,1
на,вот,prep,adv,4
солнечный,пробиваться,adj,verb,1
яркий,и,adj,conj,1
выключать,*,verb,*,3
на,дочь,prep,noun,9
на,божий,prep,adj,9
на,и,prep,conj,3
бы,зажигать,part,verb,3
и,фара,conj,noun,1
лунный,*,adj,*,1
погаснуть,*,verb,*,3
минута,мигнуть,noun,verb,3
теплый,падать,adj,verb,1
солнечный,крутой,adj,adj,1
солнечный,прямой,adj,adj,1
выключатель,не,noun,neg,3
на,*,prep,*,9
зажигать,*,verb,*,3
сиять,сквозь,verb,adv,1
гореть,*,verb,*,3
включать,и,verb,conj,3
которой,бледнеющий,pronoun,adj,1
осиять,истина ,verb,noun,7
*,сюда,*,adv,1
электрический,остаться,adj,verb,1
чуть,опять,adv,adv,2
весь,перевернуться,adv,verb,9
трястись,погасить,verb,verb,3
темно,считать,adv,verb,1
лампочкв,доходить,noun,verb,1
кабинет,но,noun,conj,3
рассеянный,*,adj,*,1
погаснуть,я,verb,pronoun,3
верхний,на,adj,prep,3
на,трое,prep,num,9
погаснуть,я,verb,pronoun,3
на,божий,prep,adj,9
тот,*,pronoun,*,9
*,быть,*,verb,1
лунный,разбавлять,adj,verb,1
загореться,*,verb,*,3
погаснуть,и,verb,conj,3
солнечный,падать,adj,verb,1
выключать,и,verb,conj,3
гореть,пахнуть,verb,verb,3
я,ты,pronoun,pronoun,8
чуть,наскоро,adv,adv,2
в,и,prep,conj,11
последний,длинный,adj,adj,3
на,*,prep,*,9
кончаться,погаснуть,verb,verb,3
удар,погаснуть,noun,verb,3
*,зелено-абажурный,*,adj,1
выключать,рассматривать,verb,verb,3
тушить,хоть,verb,adv,3
отключить,*,verb,*,3
ни,ни,neg,neg,2
чуть,бодрствовать,adv,verb,2
они,гореть,pronoun,verb,3
*,мы,*,pronoun,3
мерклый,одиноко,adj,adv,1
тревожный,все,adj,adv,1
белый,глазеть,adj,verb,10
включать,*,verb,*,3
мгновение,погаснуть,noun,verb,3
бояться,включать,verb,verb,3
на,младенец,prep,noun,9
тот,с,pronoun,prep,9
и,падать,conj,verb,1
эстрадный,и,adj,conj,1
тушить,хотеть,verb,verb,3
верхний,быть,adj,verb,3
погасить,чтобы,verb,conj,3
зажечься,замелькать,verb,verb,3
пронзительный,любовь,adj,noun,7
зеленый,*,adj,*,3
спокойный,идти,adj,verb,1
этот,быть,pronoun,verb,1
гореть,из,verb,prep,3
который,лететь,pronoun,verb,1
и,фара,conj,noun,1
*,билть,*,verb,1
проклятый,*,adj,*,1
вот,погаснуть,adv,verb,3
отраженный,луна,adj,noun,1
весь,*,adv,*,10
противный,ее,adj,pronoun,1
глаз,не,noun,neg,1
ослепительный,вспыхнуть,adj,verb,1
верхний,*,adj,*,3
выпить,стать,verb,verb,1
на,и,prep,conj,4
*,быть,*,verb,1
зажечь,и,verb,conj,3
