Class	Real	Text
a	a	  Матери не нравились в Левине и его странные и резкие суждения, и его неловкость в свете, основанная, как она полагала, на гордости, и его, по ее понятиям, дикая какая-то жизнь в деревне, с занятиями скотиной и мужиками; не нравилось очень и то, что он, влюбленный в ее дочь, ездил в дом полтора месяца, чего-то как будто ждал, высматривал, как будто боялся, не велика ли будет честь, если он сделает предложение, и не понимал, что, ездя в дом, где девушка невеста, надо было объясниться
s	a	  И вдруг, не объяснившись, уехал
s	a	"  ""Хорошо, что он так непривлекателен, что Кити не влюбилась в него"", -- думала мать"
a	a	     Вронский удовлетворял всем желаниям матери
s	a	  Очень богат, умен, знатен, на пути блестящей военной карьеры и обворожительный человек
s	a	  Нельзя было ничего лучшего желать
s	a	     Вронский на балах явно ухаживал за Кити, танцевал с нею и ездил в дом, стало быть нельзя было сомневаться в серьезности его намерений
s	a	  Но, несмотря на то, мать всю эту зиму находилась в страшном беспокойстве и волнении
s	a	     Сама княгиня вышла замуж тридцать лет тому назад, по сватовству тетки
a	a	  Жених, о котором было все уже вперед известно, приехал, увидал невесту, и его увидали; сваха тетка узнала и передала взаимно произведенное впечатление; впечатление было хорошее; потом в назначенный день было сделано родителям и принято ожидаемое предложение
s	a	  Все произошло очень легко и просто
s	a	  По крайней мере так казалось княгине
s	a	  Но на своих дочерях она испытала, как не легко и не просто это, кажущееся обыкновенным, дело -- выдавать дочерей замуж
a	a	  Сколько страхов было пережито, сколько мыслей передумано, сколько денег потрачено, сколько столкновений с мужем при выдаче замуж старших двух, Дарьи и Натальи! Теперь, при вывозе меньшой, -- переживались те же страхи, те же сомнения и еще большие, чем из-за старших, ссоры с мужем
a	a	  Старый князь, как и все отцы, был особенно щепетилен насчет чести и чистоты своих дочерей; он был неблагоразумно ревнив к дочерям, и особенно к Кити, которая была его любимица, и на каждом шагу делал сцены княгине за то, что она компрометирует дочь
s	a	  Княгиня привыкла к этому еще с первыми дочерьми, но теперь она чувствовала, что щепетильность князя имеет больше оснований
a	a	  Она видела, что в последнее время многое изменилось в приемах общества, что обязанности матери стали еще труднее
a	a	  Она видела, что сверстницы Кити составляли какие-то общества, отправлялись на какие-то курсы, свободно обращались с мужчинами, ездили одни по улицам, многие не приседали и, главное, были все твердо уверены, что выбрать себе мужа есть их дело, а не родителей
s	a	"  ""Нынче уж так не выдают замуж, как прежде"", -- думали и говорили все эти молодые девушки и все даже старые люди"
s	a	  Но как же нынче выдают замуж, княгиня ни от кого не могла узнать
s	a	  Французский обычай -- родителям решать судьбу детей -- был не принят, осуждался
s	a	  Английский обычай -- совершенной свободы девушки -- был тоже не принят и невозможен в русском обществе
s	a	  Русский обычай сватовства считался чем-то безобразным, над ним смеялись, все и сама княгиня
s	a	  Но как надо выходить и выдавать замуж, никто не знал
s	a	"  Все, с кем княгине случалось толковать об этом, говорили ей одно: ""Помилуйте, в наше время уж пора оставить эту старину"
s	a	"  Ведь молодым людям в брак вступать, а не родителям; стало быть, и надо оставить молодых людей устраиваться, как они знают"""
a	a	  Но хорошо было говорить так тем, у кого не было дочерей; а княгиня понимала, что при сближении дочь могла влюбиться, и влюбиться в того, кто не захочет жениться, или в того, кто не годится в мужья
a	a	  И сколько бы ни внушали княгине, что в наше время молодые люди сами должны устраивать свою судьбу, она не могла верить этому, как не могла бы верить тому, что в какое бы то ни было время для пятилетних детей самыми лучшими игрушками должны быть заряженные пистолеты
s	a	  И потому княгиня беспокоилась с Кити больше, чем со старшими дочерьми
s	a	     Теперь она боялась, чтобы Вронский не ограничился одним ухаживаньем за ее дочерью
s	a	  Она видела, что дочь уже влюблена в него, но утешала себя тем, что он честный человек и потому не сделает этого
s	a	  Но вместе с тем она знала, как с нынешнею свободой обращения легко вскружить голову девушки и как вообще мужчины легко смотрят на эту вину
s	a	  На прошлой неделе Кити рассказала матери свой разговор во время мазурки с Вронским
s	a	  Разговор этот отчасти успокоил княгиню; но совершенно спокойною она не могла быть
s	a	  Вронский сказал Кити, что они, оба брата, так привыкли во всем подчиняться своей матери, что никогда не решатся предпринять что-нибудь важное, не посоветовавшись с нею
s	a	"  ""И теперь я жду, как особенного счастья, приезда матушки из Петербурга"", -- сказал он"
s	a	     Кити рассказала это, не придавая никакого значения этим словам
s	a	  Но мать поняла это иначе
a	a	  Она знала, что старуху ждут со дня на день, знала, что старуха будет рада выбору сына, и ей странно было, что он, боясь оскорбить мать, не делает предложения; однако ей так хотелось и самого брака и, более всего, успокоения от своих тревог, что она верила этому
a	a	  Как ни горько было теперь княгине видеть несчастие старшей дочери Долли, сбиравшейся оставить мужа, волнение о решавшейся судьбе меньшой дочери поглощало все ее чувства
s	a	  Нынешний день, с появлением Левина, ей прибавилось еще новое беспокойство
a	a	  Она боялась, чтобы дочь, имевшая, как ей казалось, одно время чувство к Левину, из излишней честности, не отказала бы Вронскому и вообще чтобы приезд Левина не запутал, -- не задержал дела, столь близкого к окончанию
s	a	     -- Что он, давно ли приехал? -- сказала княгиня про Левина, когда они вернулись домой
a	a	     -- Нынче, maman
s	a	     -- Я одно хочу сказать, -- начала княгиня, и по серьезно-оживленному лицу ее Кити угадала, о чем будет речь
s	a	     -- Мама, -- сказала она, вспыхнув и быстро поворачиваясь к ней, -- пожалуйста, пожалуйста, не говорите ничего про это
a	a	  Я знаю, я все знаю
s	a	     Она желала того же, чего желала и мать, но мотивы желания матери оскорбляли ее
s	a	     -- Я только хочу сказать, что, подав надежду одному
s	a	     -- Мама, голубчик, ради бога, не говорите
a	a	  Так страшно говорить про это
s	a	     -- Не буду, не буду, -- сказала мать, увидав слезы на глазах дочери, -- но одно, моя душа: ты мне обещала, что у тебя не будет от меня тайны
s	a	  Не будет?    -- Никогда, мама, никакой, -- отвечала Кити, покраснев и взглянув прямо в лицо матери
a	a	  -- Но мне нечего говорить теперь
a	a	  Я
a	a	  я
s	a	  если бы хотела, я не знаю, что сказать и как
a	a	  я не знаю
s	a	"     ""Нет, неправду не может она сказать с этими глазами"", -- подумала мать, улыбаясь на ее волнение и счастие"
s	a	  Княгиня улыбалась тому, как огромно и значительно кажется ей, бедняжке, то, что происходит теперь в ее душе
s	a	     XIII     Кити испытывала после обеда и до начала вечера чувство, подобное тому, какое испытывает юноша пред битвою
s	a	  Сердце ее билось сильно, и мысли не могли ни на чем остановиться
s	a	     Она чувствовала, что нынешний вечер, когда они оба в первый раз встречаются, должен быть решительный в ее судьбе
s	a	  И она беспрестанно представляла себе их, то каждого порознь, то вместе обоих
s	a	  Когда она думала о прошедшем, она с удовольствием, с нежностью останавливалась на воспоминаниях своих отношений к Левину
s	a	  Воспоминания детства и воспоминания о дружбе Левина с ее умершим братом придавали особенную поэтическую прелесть ее отношениям с ним
s	a	  Его любовь к ней, в которой она была уверена, была лестна и радостна ей
s	a	  И ей легко было вспомнить о Левине
a	a	  В воспоминание же о Вронском примешивалось что-то неловкое, хотя он был в высшей степени светский и спокойный человек; как будто фальшь какая-то была, -- не в нем, он был очень прост и мил, -- но в ней самой, тогда как с Левиным она чувствовала себя совершенно простою и ясною
s	a	  Но зато, как только она думала о будущем с Вронским, пред ней вставала перспектива блестяще-счастливая; с Левиным же будущность представлялась туманною
a	a	     Взойдя наверх одеться для вечера и взглянув в зеркало, она с радостью заметила, что она в одном из своих хороших дней и в полном обладании всеми своим силами, а это ей так нужно было для предстоящего: она чувствовала в себе внешнюю тишину и свободную грацию движений
s	a	"     В половине восьмого, только что она сошла в гостиную, лакей доложил: ""Константин Дмитрич Левин"""
s	a	  Княгиня была еще в своей комнате, и князь не выходил
s	a	"  ""Так и есть"", -- подумала Кити, и вся кровь прилила ей к сердцу"
s	a	  Она ужаснулась своей бледности, взглянув в зеркало
s	a	     Теперь она верно знала, что он затем и приехал раньше, чтобы застать ее одну и сделать предложение
s	a	  И тут только в первый раз все дело представилось ей совсем с другой, новой стороны
s	a	  Тут только она поняла, что вопрос касается не ее одной, -- с кем она будет счастлива и кого она любит, -- но что сию минуту она должна оскорбить человека, которого она любит
a	a	  И оскорбить жестоко
a	a	  За что? За то, что он, милый, любит ее, влюблен в нее
s	a	  Но, делать нечего, так нужно, так должно
s	a	"     ""Боже мой, неужели это я сама должна сказать ему? -- подумала она"
s	a	  -- Ну что я скажу ему? Неужели я скажу ему, что я его не люблю? Это будет неправда
s	a	  Что ж я скажу ему? Скажу, что люблю другого? Нет, это невозможно
a	a	"  Я уйду, уйду"""
s	a	     Она уже подходила к дверям, когда услыхала его шаги
a	a	"  ""Нет! нечестно"
s	a	  Чего мне бояться? Я ничего дурного не сделала
s	a	  Что будет, то будет! Скажу правду
s	a	  Да с ним не может быть неловко
s	a	"  Вот он"", -- сказала она себе, увидав всю его сильную и робкую фигуру с блестящими, устремленными на себя глазами"
s	a	  Она прямо взглянула ему в лицо, как бы умоляя его о пощаде, и подала руку
s	a	     -- Я не вовремя, кажется, слишком рано, -- сказал он, оглянув пустую гостиную
s	a	  Когда он увидал, что его ожидания сбылись, что ничто не мешает ему высказаться, лицо его сделалось мрачно
a	a	     -- О нет, -- сказала Кити и села к столу
s	a	     -- Но я только того и хотел, чтобы застать вас одну, -- начал он, не садясь и не глядя на нее, чтобы не потерять смелости
a	a	     -- Мама сейчас выйдет
a	a	  Она вчера очень устала
a	a	  Вчера
s	a	     Она говорила, сама не зная, что говорят ее губы, и не спуская с него умоляющего и ласкающего взгляда
s	a	     Он взглянул на нее; она покраснела и замолчала
s	a	     -- Я сказал вам, что не знаю, надолго ли я приехал
a	a	  что это от вас зависит
s	a	     Она все ниже и ниже склоняла голову, не зная сама, что будет отвечать на приближавшееся
a	a	     -- Что это от вас зависит, -- повторил он
a	a	  -- Я хотел сказать
a	a	  я хотел сказать
a	a	  Я за этим приехал
a	a	  -- что
s	a	  быть моею женой!-- проговорил он, не зная сам, что говорил; но, почувствовав, что самое страшное сказано, остановился и посмотрел на нее
a	a	     Она тяжело дышала, не глядя на него
a	a	  Она испытывала восторг
s	a	  Душа ее была переполнена счастьем
s	a	  Она никак не ожидала, что высказанная любовь его произведет на нее такое сильное впечатление
s	a	  Но это продолжалось только одно мгновение
a	a	  Она вспомнила Вронского
s	a	  Она подняла на Левина свои светлые правдивые глаза и, увидав его отчаянное лицо, поспешно ответила:    -- Этого не может быть
a	a	  простите меня
a	a	     Как за минуту тому назад она была близка ему, как важна для его жизни! И как теперь она стала чужда и далека ему!    -- Это не могло быть иначе, -- сказал он, не глядя на нее
s	a	     Он поклонился и хотел уйти
s	a	     XIV     Но в это самое время вышла княгиня
s	a	  На лице ее изобразился ужас, когда она увидела их одних и их расстроенные лица
s	a	  Левин поклонился ей и ничего не сказал
s	a	  Кити молчала, не поднимая глаз
s	a	"  ""Слава богу, отказала"", -- подумала мать, и лицо ее просияло обычной улыбкой, с которою она встречала по четвергам гостей"
s	a	  Она села и начала расспрашивать Левина о его жизни в деревне
s	a	  Он сел опять, ожидая приезда гостей, чтоб уехать незаметно
s	a	     Через пять минут вошла подруга Кити, прошлую зиму вышедшая замуж, графиня Нордстон
a	a	     Это была сухая, желтая, с черными блестящими глазами, болезненная и нервная женщина
a	a	  Она любила Кити, и любовь ее к ней, как и всегда любовь замужних к девушкам, выражалась в желании выдать Кити по своему идеалу счастья замуж, и потому желала выдать ее за Вронского
a	s	 Простые чувства Ты возвышать умеешь до искусства
s	s	   x x x Когда один я находил истоки Поэзии в тебе, блистал мой стих
s	s	  Но как теперь мои померкли строки И голос музы немощной затих!  Я сознаю своих стихов бессилье
s	s	  Но все, что можно о тебе сказать, Поэт в твоем находит изобилье, Чтобы тебе преподнести опять
s	s	   Он славит добродетель, это слово Украв у поведенья твоего, Он воспевает красоту, но снова Приносит дар, ограбив божество
s	s	   Благодарить не должен тот, кто платит Сполна за все, что стихотворец тратит
s	s	   x x x Мне изменяет голос мой и стих, Когда подумаю, какой певец Тебя прославил громом струн своих, Меня молчать заставив наконец
s	s	   Но так как вольный океан широк И с кораблем могучим наравне Качает скромный маленький челнок, Дерзнул я появиться на волне
s	s	   Лишь с помощью твоей средь бурных вод Могу держаться, не иду ко дну
s	s	  А он в сиянье парусов плывет, Бездонную тревожа глубину
s	s	   Не знаю я, что ждет меня в пути, Но не боюсь и смерть в любви найти
s	s	   x x x Тебе ль меня придется хоронить Иль мне тебя - не знаю, друг мой милый
s	s	  Но пусть судьбы твоей прервется нить, Твой образ не исчезнет за могилой
s	s	   Ты сохранишь и жизнь и красоту, А от меня ничто не сохранится
s	s	  На кладбище покой я обрету, А твой приют - открытая  гробница
s	s	   Твой памятник - восторженный мой стих
s	s	  Кто не рожден еще, его услышит
s	s	  И мир повторит повесть дней твоих, Когда умрут все те, кто ныне дышит
s	s	   Ты будешь жить, земной покинув прах, Там, где живет дыханье, - на устах!  x x x Не обручен ты с музою моей
s	s	  И часто снисходителен твой суд, Когда тебе поэты наших дней Красноречиво посвящают труд
s	s	   Твой ум изящен, как твои черты, Гораздо тоньше всех моих похвал
s	s	  И поневоле строчек ищешь ты Новее тех, что я  тебе писал
a	s	   Я уступить соперникам готов
s	s	  Но после риторических потуг Яснее станет правда этих слов, Что пишет просто говорящий друг
s	s	   Бескровным краскам яркая нужна, Твоя же кровь и без того красна
a	s	   x x x Его ли стих - могучий шум ветрил, Несущихся в погоню за тобою, - Все замыслы во мне похоронил, Утробу сделав урной гробовою?  Его ль рука, которую писать Учил какой-то дух, лишенный тела, На робкие уста кладет печать, Достигнув в мастерстве своем предела?  О нет, ни он, ни дружественный дух- Его ночной советчик бестелесный - Так не могли ошеломить мой слух И страхом поразить мой дар словесный
s	s	   Но если ты с его не сходишь уст, Мой стих, как дом, стоит открыт и пуст
s	s	   x x x Когда захочешь, охладев ко мне, Предать меня насмешке и презренью, Я на твоей останусь стороне И честь твою не опорочу тенью
s	s	   Отлично зная каждый свой порок, Я рассказать могу такую повесть, Что навсегда сниму с тебя упрек, Запятнанную оправдаю совесть
s	s	   И буду благодарен я судьбе: Пускай в борьбе терплю я неудачу, Но честь победы приношу тебе И дважды обретаю все, что трачу
s	s	   Готов я жертвой быть неправоты, Чтоб только правой оказалась ты
s	s	   x x x Уж если ты разлюбишь, - так теперь, Теперь, когда весь мир со мной в раздоре
s	s	  Будь самой горькой из моих потерь, Но только не последней каплей горя!  И если скорбь дано мне превозмочь, Не наноси удара из засады
s	s	  Пусть бурная не разрешится ночь Дождливым утром - утром без отрады
s	s	   Оставь меня, но не в последний миг, Когда от мелких бед я ослабею
s	s	  Оставь сейчас, чтоб сразу я постиг, Что это горе всех невзгод больнее
s	s	   Что нет невзгод, а есть одна беда - Твоей любви лишиться навсегда
s	s	   x x x Кто хвалится родством своим со знатью, Кто силой, кто блестящим галуном, Кто кошельком, кто пряжками на платье, Кто соколом, собакой, скакуном
s	s	   Есть у людей различные пристрастья, Но каждому милей всего одно
s	s	  А у меня особенное счастье, - В нем остальное все заключено
a	s	   Твоя любовь, мой друг, дороже клада, Почетнее короны королей, Наряднее богатого наряда, Охоты соколиной веселей
s	s	   Ты можешь все отнять, чем я владею, И в этот миг я сразу обеднею
s	s	   x x x Что ж, буду жить, приемля как условье, Что ты верна
s	s	  Хоть стала ты иной, Но тень любви нам кажется любовью
s	s	  Не сердцем - так глазами будь со мной
s	s	   Твой взор не говорит о перемене
a	s	  Он не таит ни скуки, ни вражды
s	s	  Есть лица, на которых преступленья Чертят неизгладимые следы
s	s	   Но, видно, так угодно высшим силам: Пусть лгут твои прекрасные уста, Но в этом взоре, ласковом и милом, По-прежнему сияет чистота
s	s	   Прекрасно было яблоко, что с древа Адаму на беду сорвала Ева
a	s	   x x x Кто, злом владея, зла не причинит, Не пользуясь всей мощью этой власти, Кто двигает других, но, как гранит Неколебим и не подвержен страсти,  Тому дарует небо благодать, Земля дары приносит дорогие
a	s	  Ему дано величьем обладать, А чтить величье призваны другие
s	s	   Лелеет лето лучший свой цветок, Хоть сам он по себе цветет и вянет,
s	s	  Но если в нем приют нашел порок, Любой сорняк его достойней станет
s	s	   Чертополох нам слаще и милей Растленных роз, отравленных лилей
a	s	"    Бумажное издание:   Издательство ""Полиграфия"" © 1988   Перевод С"
a	s	 Маршака Электронное издание:   Copyright © 1995 Lazy Crazy
a	s	  Сканирование, распознавание и оформление -   All rights reserved
a	s	      * Вильям Шекспир
a	s	  СТИХИ *   Перевод С
a	s	  Маршака  Файл с книжной полки Несененко Алексея  http://www
a	s	" com/SoHo/Exhibit/4256/    Конь (Из поэмы ""Венера и Адонис"") Песня о рогах (Из комедии ""Как вам это понравится"") Песня Балтазара (Из комедии ""Много шума из ничего"") Песенка из ""Зимней сказки"" Песни Офелии (Пз трагедии ""Гамлет"") 1"
a	s	"  ""Как в толпе его найдем"
a	s	"  ""В день святого Валентина"
a	s	"  ""Позор и грех! У них у всех"
s	s	" "" Песни шута (Из трагедии ""Король Лир"") 1"
s	s	"  ""Показывай меньше  того,  что имеешь"
a	s	"  ""Вскормил кукушку воробей"
a	s	"  ""Кто служит только для того"
a	s	"  ""Отцов сановных и богатых"
a	s	"  ""Тот, кто решился по кускам"
s	s	" "" Песни шута (Из комедии ""Двенадцатая ночь"") 1"
a	s	"  ""Поспеши, смерть, поспеши"
s	s	"  ""Когда еще был я зелен и мал"
a	s	" "" Надгробный плач  "
a	s	"                   КОНЬ  Из поамы ""Венера и Адонис""  Прислушайся, - из ближнего леска  Испанская кобыла молодая,  Почуяв жеребца издалека,  Его зовет, тревожно ожидая"
s	s	   И, с привязи сорвавшись, наконец,  К ней скачет, шею выгнув, жеребец
s	s	   Он величаво мчится, он летит,  Как в приступе безудержного гнева,  И гулко под ударами копыт  Гудит земли разбуженное чрево
s	s	   Грызет железо он своих удил,  Тем овладев, чему подвластен был
a	s	   Он поднял уши
s	s	  Нисходя к хребту,  Вздымается дорожка гривы черной,  Ноздрями воздух пьет он на лету
s	s	   Пар из ноздрей выходит, как из горна
s	s	   Недаром око томное коня  Сверкает ярким отблеском огня
a	s	   То рысью он идет, шаги считая,  Спокойно горд и скромно величав,  То скоком скачет, над землей взлетая,  Плывет, по ветру тело распластав,  Чтоб гневной красотой своей и силой  Похвастаться перед подругой милой
a	s	"   Ему и дела нет до ездока, Кричащего вослед: ""Постой! Куда ты?"" Забыл он шпоры, жгущие бока, Забыл о сбруе, яркой и богатой, Он слышит только собственную кровь, Он видит пред собой свою любовь"
a	s	   Как если бы, искусству дав свободу,  Писал коня художник на холсте,  Стремясь живую превзойти природу  И в живости самой и в красоте, -  Так этот конь превосходил любого  Осанкой, статью, красотой суровой
s	s	   Крутая холка, ясный, полный глаз,  Сухие ноги, круглые копыта,  Густые щетки, кожа, как атлас,  А ноздри ветру широко открыты
s	s	   Грудь широка, а голова мала, -  Таким его природа создала
s	s	   Ничто косого не избегнет взора,  Касанье перышка его вспугнет
s	s	   Приказывая ветру быть опорой,  Пускается он в бег или в полет
s	s	   Сквозь волосы хвоста его и гривы  Поет и свищет ветер шаловливый
s	s	   Он выражает радость в звонком ржанье, Отзывный голос подает она
a	s	  Но - женщина - в ответ на обожанье Она лукавит, гордости полна, И отвечает страсти, столь открытой, Упрямыми ударами копыта
s	s	   Он роет землю в гневе, ловит ртом  Слепней несчастных
s	s	  Весь покрыт он мылом
s	s	   И бедра охлаждает он хвостом,  Разгоряченные любовным пылом
s	s	   Но вот гордячка, друга пожалев,  Его безмерный умеряет гнев
s	s	   А тут хозяин, подоспев, стремится  Взять под уздцы горячего коня
s	s	   В испуге к лесу скачет кобылица
s	s	   За нею конь, уздечкою звеня
s	s	   И оба обгоняют по дороге  Ворон, летящих тучею в тревоге
s	s	"      ПЕСНЯ О РОГАХ  Из комедии ""Как вам это понравится""  Есть у охотников обычай -  Рога и шкуру, как добычу,  Нести домой"
s	s	   Хоть дорога оленья кожа,  Рога оленьи нам дороже: Так не стыдись носить рога
s	s	   Нам эта память дорога!  Крутого рога острый серп -  Твоей семьи старинный герб
a	s	   От поколенья поколенье  Рога наследует оленьи
s	s	"   Так не стыдись носить рога - Нам эта память дорога!    ПЕСНЯ БАЛТАЗАРА  Из комедии ""Много шума из ничего""  Что толку, леди, в жалобе?  Мужчины - шалопаи"
s	s	   Одна нога ни палубе,  На берегу другая
s	s	   Что с них возьмешь? Слова их - ложь
s	s	  Но в грусти толку мало, Весь мир хорош, когда поешь: Тарара-лала-лала!  Зачем вам плакать? Лучше петь
a	s	   Весной грустить не ведено
s	s	   Мужчины женщин ловят в сеть,  С тех пор как весны зелены
s	s	   Что с них возьмешь?  Слова их - ложь
s	s	   Но в грусти толку мало
s	s	"   Весь мир хорош, когда поешь: Тарара-лала-лала!    ПЕСЕНКА ИЗ ""ЗИМНЕЙ СКАЗКИ""  Веди нас, дорожка, вперед и вперед,  Начала тебе и конца нет"
s	s	"   Веселое сердце идет и поет,  Печальное - скоро устанет!      ПЕСНИ ОФЕЛИИ  Из трагедии ""Гамлет""    1  Как в толпе его найдем -  Твоего дружка?  Шляпа странника на нем,  А в руках клюка"
s	s	   Он угас и умер, леди,  Он могилой взят
s	s	   В головах - бугор зеленый,  Камень - возле пят
s	s	   Бел твой саван, друг мой милый
s	s	   Сколько белых роз  В эту раннюю могилу  Ливень слез унес
s	s	     2  В день святого Валентина,  В первом свете дня  Ты своею Валентиной  Назови меня
s	s	   Тихо ввел он на рассвете  Девушку в свой дом -  Ту, что девушкой вовеки  Не была потом
s	s	     3  Позор и грех! У них у всех  Нет ни на грош стыда: Свое возьмут, потом уйдут,  А девушкам беда
s	s	   Ты мне жениться обещал,  Меня лишая чести
s	s	"   - Клянусь, я слово бы сдержал,  Да мы уж спали вместе!    ПЕСНИ ШУТА  Из трагедии ""Король Лир"" (1)    1  Показывай Меньше того, что имеешь"
s	s	  Рассказывай Меньше, чем сам разумеешь
s	s	   Где можно проехать,  Не странствуй пешком
s	s	   Чем деньги одалживать,  Будь должником
s	s	   Играй, но только помни меру,  Учись, а не бери на веру
s	s	   Забудь и кружку и подружку,  Храни под спудом каждый грош
a	s	   Тогда полушку на полушку,  А на сто - сотню наживешь!    2  Вскормил кукушку воробей - Бездомного Птенца, - А тот возьми да и убей Приемного Отца!    3  Кто служит только для того,  Чтоб извлекать доходы,  Тебя оставит одного  Во время непогоды
s	s	   Но тут с тобой - твой верный шут!  Служил он не для денег
s	s	   Он жалкий шут, но он не плут,  Дурак, а не мошенник!    4  Отцов сановных и богатых  Ласкают дочки и зятья
s	s	   А у кого штаны в заплатах,  Того не жалует семья!  Фортуна - жалкая блудница: Она с голодным не ложится
s	s	     5  Тот, кто решился по кускам  Страну свою раздать,  Пусть приобщится к дуракам, -  Он будет мне под стать
s	s	   Мы станем с ним, рука к руке,  Два круглых дурака:  Один - в дурацком колпаке,  Другой - без колпака!  -------------------------------  1) - Здесь дано несколько песен и стихотворных реплик  шута
s	s	  Из них выбраны только те, которые имеют более  или менее самостоятельное значение и не слишком тесно  связаны с общим текстом трагедии
s	s	"     ПЕСНИ ШУТА    Из комедии ""Двенадцатая ночь""    1  Поспеши, смерть, поспеши"
s	s	      Я устал от любовных обид
s	s	   Не дыши, моя грудь, не дыши
a	s	      Я жестокой подругой убит
s	s	   Пусть в последний приют мой земной     Ветви тиса положат
s	s	   Разделить мою участь со мной     Самый преданный друг не может
s	s	   Пусть ни белых лилий, ни роз     Не оставят друзья на погосте
s	s	   Пусть никто не роняет слез     На мои неподвижные кости
s	s	   Пусть могилу трава-лебеда     От прохожего спрячет
s	s	   И любовник весной никогда     Надо мной не заплачет
s	s	     2  Когда еще был я зелен и мал, -  Лей, ливень, всю ночь напролет! -  Любую проделку я шуткой считал,  А дождь себе льет да льет
s	s	   Я вырос, ничуть не набравшись ума,  Лей, ливень, всю ночь напролет! -  На ключ от бродяг запирают дома,  А дождь себе льет да льет
s	s	   Потом я, как все, обзавелся женой, - Лей, ливень, всю ночь напролет! -  Ей не было сытно и сухо со мной,  А дождь себе льет да льет
s	s	   Хоть годы меня уложили в постель, - Лей, ливень, всю ночь напролет! -  Из старого дурня не выбьете хмель,  А дождик все льет да льет
s	s	   Пусть мир существует бог весть как давно, - Чтоб дождь его мог поливать, -  Не все ли равно? Представленье дано
s	s	   А завтра начнется опять!     НАДГРОБНЫЙ ПЛАЧ  Правда с юной красотой, С прелестью, такой простой,  Спят во прахе под плитой
s	s	   Вечного покоя дом Стал для голубя гнездом
s	s	  Спит с подругой он вдвоем
s	s	   Легок был земной им груз
s	s	   Нет плодов их брачных уз
s	s	   Девственным был их союз
a	s	   Будет правда, да не та,  И не та уж красота
s	s	   На любовь легла плита
s	s	   Тот, в ком дух высокий жив,  Кто красив и кто правдив,  Плачь, колена преклонив
s	s	   Помолись, склонившись ниц  Пред чистейшей из гробниц,  Пред гнездом умолкших птиц
